,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 2.2.1: Trend Plots of Average Reading Achievement,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Delayed Assessment of Fourth Grade Cohort at the Beginning of Fifth Grade,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"This exhibit displays changes in achievement for the countries and benchmarking participants that assessed the fourth grade cohort at the beginning of the fifth grade school year and have data from previous PIRLS assessments. Students in previous assessments were assessed at the end of the fourth year of schooling. Exhibit 2.2.2 provides details, including statistical significance. See Appendix A for country participation in previous assessments.",,,,,,,,,,,,,,,,,,,,,,,,,
,,Note: PDF version of exhibit includes graphical displays.,,,,,,,,,,,,,,,,,,,,,,,,
,,Country,,During COVID-19 pandemic and at least 4 months older,,Prior to COVID-19 pandemic,,,,,,,,,,,,,,,,,,,,
,,,,,,2016,,2011,,2006,,2001,,,,,,,,,,,,,,
,,,,2021,,,,,,,,,,,,,,,,,,,                  ,,,
,,Bahrain,,458,(2.9),446,(2.3),,,,,,,,,,,,,,,,,,,
,,Croatia,,557,(2.5),,,553,(1.8),,,,,,,,,,,,,,,,,
,,Georgia,,494,(2.6),488,(2.8),488,(3.1),471,(3.2),,,,,,,,,,,,,,,
,,Hungary,,539,(3.4),554,(2.9),539,(2.8),551,(2.9),543,(2.2),,,,,,,,,,,,,
,,Ireland,,577,(2.5),567,(2.5),552,(2.3),,,,,,,,,,,,,,,,,
,,Kazakhstan,,504,(2.7),536,(2.5),,,,,,,,,,,,,,,,,,,
,,Latvia,,528,(2.6),558,(1.7),,,541,(2.3),545,(2.3),,,,,,,,,,,,,
,,Lithuania,,552,(2.3),548,(2.6),528,(2.0),537,(1.7),543,(2.6),,,,,,,,,,,,,
,,Morocco,,372,(4.5),358,(3.9),310,(3.9),,,,,,,,,,,,,,,,,
,,Northern Ireland,,566,(2.5),565,(2.2),558,(2.3),,,,,,,,,,,,,,,,,
,,Qatar,,485,(3.7),442,(1.8),425,(3.6),,,,,,,,,,,,,,,,,
,,Saudi Arabia,,449,(3.6),430,(4.2),430,(4.3),,,,,,,,,,,,,,,,,
,,United Arab Emirates,,483,(1.8),450,(3.2),439,(2.2),,,,,,,,,,,,,,,,,
,,United States,,548,(6.8),549,(3.1),556,(1.6),540,(3.4),542,(3.8),,,,,,,,,,,,,
Benchmarking Participants,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Quebec, Canada",,551,(2.7),547,(2.8),538,(2.2),533,(2.7),537,(3.0),,,,,,,,,,,,,
,,"Abu Dhabi, UAE",,440,(3.5),414,(4.7),424,(4.7),,,,,,,,,,,,,,,,,
,,"Dubai, UAE",,552,(1.5),515,(1.9),476,(2.0),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"( ) Standard errors appear in parentheses. Because of rounding some results may appear inconsistent.
See Appendix A for country participation in previous PIRLS assessments.

",,,,,,,,,,,,,,,,,,,,,,,,,
,SOURCE:  IEA's Progress in International Reading Literacy Study - PIRLS 2021,,,,,,,,,,,,,,,,,,,,,,,,,
,Downloaded from https://pirls2021.org/results,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
