,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 1.3: Trend Plots of Average Mathematics Achievement Across Assessment Years,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The accompanying table (Exhibit 1.4) provides details, including statistical significance. See Appendix A for country participation in previous assessments.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Country,,2019,,2015,,2011,,2007,,2003,,1995,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Armenia,,498,(2.5),481,(3.4),452,(3.6),,,456,(3.5),,,,,,,,,,,,,,
,,Australia,,516,(2.8),517,(3.1),516,(3.0),516,(3.5),499,(3.9),495,(3.5),,,,,,,,,,,,
,,Austria,,539,(2.0),,,508,(2.6),505,(1.9),,,531,(2.9),,,,,,,,,,,,
,,Azerbaijan,,515,(2.7),,,463,(5.9),,,,,,,,,,,,,,,,,,
,,Bahrain,,480,(2.6),451,(1.6),436,(3.2),,,,,,,,,,,,,,,,,,
,,Belgium (Flemish),,532,(1.9),546,(2.1),549,(1.9),,,551,(1.8),,,,,,,,,,,,,,
,,Bulgaria,,515,(4.3),524,(5.3),,,,,,,,,,,,,,,,,,,,
,,Canada,,512,(1.9),511,(2.3),,,,,,,,,,,,,,,,,,,,
,,Chile,,441,(2.7),459,(2.4),462,(2.3),,,,,,,,,,,,,,,,,,
,,Chinese Taipei,,599,(1.9),597,(1.9),591,(2.0),576,(1.8),564,(1.8),,,,,,,,,,,,,,
,,Croatia,,509,(2.2),502,(1.8),490,(1.9),,,,,,,,,,,,,,,,,,
,,Cyprus,,532,(2.9),523,(2.7),,,,,510,(2.4),475,(3.2),,,,,,,,,,,,
,,Czech Republic,,533,(2.5),528,(2.2),511,(2.5),486,(2.7),,,541,(3.0),,,,,,,,,,,,
,,Denmark,,525,(1.9),539,(2.7),537,(2.6),523,(2.5),,,,,,,,,,,,,,,,
,,England,,556,(3.0),546,(2.8),542,(3.5),541,(3.0),531,(3.7),484,(3.3),,,,,,,,,,,,
,,Finland,,532,(2.3),535,(2.0),545,(2.4),,,,,,,,,,,,,,,,,,
,,France,,485,(3.0),488,(2.9),,,,,,,,,,,,,,,,,,,,
,,Georgia,,482,(3.7),463,(3.6),450,(3.7),438,(4.3),,,,,,,,,,,,,,,,
,,Germany,,521,(2.3),522,(2.0),528,(2.2),525,(2.1),,,,,,,,,,,,,,,,
,,Hong Kong SAR,,602,(3.3),615,(2.9),602,(3.4),607,(3.5),575,(3.1),557,(4.0),,,,,,,,,,,,
,,Hungary,,523,(2.6),529,(3.2),515,(3.4),510,(3.5),529,(3.2),521,(3.5),,,,,,,,,,,,
,,"Iran, Islamic Rep. of",,443,(3.9),431,(3.2),431,(3.5),402,(4.0),389,(4.2),387,(4.9),,,,,,,,,,,,
,,Ireland,,548,(2.5),547,(2.1),527,(2.6),,,,,523,(3.5),,,,,,,,,,,,
,,Italy,,515,(2.4),507,(2.6),508,(2.6),507,(3.1),503,(3.7),,,,,,,,,,,,,,
,,Japan,,593,(1.8),593,(2.0),585,(1.7),568,(2.1),565,(1.6),567,(1.9),,,,,,,,,,,,
,,Kazakhstan,,512,(2.5),,,501,(4.5),,,,,,,,,,,,,,,,,,
,,"Korea, Rep. of",,600,(2.2),608,(2.2),605,(1.9),,,,,581,(1.8),,,,,,,,,,,,
,,Kuwait,,383,(4.7),353,(4.6),,,,,,,,,,,,,,,,,,,,
,,Latvia,,546,(2.6),,,,,,,536,(2.8),,,,,,,,,,,,,,
,,Lithuania,,542,(2.8),535,(2.5),534,(2.4),530,(2.4),534,(2.7),,,,,,,,,,,,,,
,,Malta,,509,(1.4),,,496,(1.4),,,,,,,,,,,,,,,,,,
,,Morocco,,383,(4.3),377,(3.4),335,(4.0),,,,,,,,,,,,,,,,,,
,,Netherlands,,538,(2.2),530,(1.7),540,(1.6),535,(2.1),540,(2.2),549,(3.0),,,,,,,,,,,,
,,New Zealand,,487,(2.6),491,(2.3),486,(2.6),492,(2.4),493,(2.2),469,(4.4),,,,,,,,,,,,
,,Northern Ireland,,566,(2.7),570,(2.9),562,(2.8),,,,,,,,,,,,,,,,,,
,,Norway (5),,543,(2.2),549,(2.5),,,,,,,,,,,,,,,,,,,,
,,Oman,,431,(3.7),425,(2.5),385,(2.9),,,,,,,,,,,,,,,,,,
,,Philippines,,297,(6.4),,,,,,,358,(8.0),,,,,,,,,,,,,,
,,Poland,,520,(2.7),535,(2.1),,,,,,,,,,,,,,,,,,,,
,,Portugal,,525,(2.6),541,(2.2),532,(3.3),,,,,442,(4.0),,,,,,,,,,,,
,,Qatar,,449,(3.4),439,(3.4),413,(3.4),,,,,,,,,,,,,,,,,,
,,Russian Federation,,567,(3.3),564,(3.4),542,(3.7),544,(4.9),532,(4.8),,,,,,,,,,,,,,
,,Saudi Arabia,,398,(3.6),383,(4.1),410,(5.2),,,,,,,,,,,,,,,,,,
,,Serbia,,508,(3.2),518,(3.5),516,(3.0),,,,,,,,,,,,,,,,,,
,,Singapore,,625,(3.9),618,(3.8),606,(3.2),599,(3.8),594,(5.6),590,(4.5),,,,,,,,,,,,
,,Slovak Republic,,510,(3.5),498,(2.5),507,(3.7),496,(4.5),,,,,,,,,,,,,,,,
,,South Africa (5),,374,(3.6),376,(3.5),,,,,,,,,,,,,,,,,,,,
,,Spain,,502,(2.1),505,(2.5),482,(2.8),,,,,,,,,,,,,,,,,,
,,Sweden,,521,(2.8),519,(2.8),504,(2.1),503,(2.6),,,,,,,,,,,,,,,,
,,United Arab Emirates,,481,(1.7),452,(2.4),434,(2.0),,,,,,,,,,,,,,,,,,
,,United States,,535,(2.5),539,(2.3),541,(1.9),529,(2.5),518,(2.4),518,(2.9),,,,,,,,,,,,
Benchmarking Participants,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Ontario, Canada",,512,(3.3),512,(2.3),518,(3.0),512,(3.0),511,(3.9),489,(3.5),,,,,,,,,,,,
,,"Quebec, Canada",,532,(2.3),536,(4.0),533,(2.5),519,(3.0),506,(2.4),550,(4.1),,,,,,,,,,,,
,,"Abu Dhabi, UAE",,441,(2.2),419,(4.7),417,(4.6),,,,,,,,,,,,,,,,,,
,,"Dubai, UAE",,544,(1.6),511,(1.4),468,(1.7),444,(2.1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
