"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117.636881110044","124.005036392297","122.292801339113","133.943411384367","143.103155348081","150.636896483362","167.499746889353","180.218056708826","187.489788999149","196.889932774527","199.289814960598","209.186784110857","201.484176295307","213.50367229104","209.746777081661","217.756388499598","221.182494616166","214.381227735915","212.029315936738","214.075994845485","207.94795808707","","",
"Afghanistan","AFG","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.4650241603841","86.2292979837873","93.9262975781765","105.835269492477","118.180821247347","112.130699551899","137.572205663527","153.581861875465","148.74479700199","147.339169404665","155.383025864167","178.07901916923","202.261555308607","215.725233301209","239.188747458965","264.543988949921","299.822543673828","321.525376737099","322.525614744969","","",
"Africa Western and Central","AFW","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.2239431325883","80.4847819274066","78.1782892160684","116.394866408354","118.040940318446","122.236910251926","123.357562728834","123.62226055096","127.144626317174","135.976129470779","127.607472175379","134.50224822653","135.914577562874","145.109532124173","152.2486351804","157.998629762557","153.29621179624","153.517499109102","141.693628946468","143.995775410178","159.799055186877","","",
"Angola","AGO","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.7012578381084","151.78435881115","126.048714050699","136.177882463725","167.516711722124","137.857828986966","143.910119860939","179.931612540403","219.595563708624","248.715628012333","177.492476773377","177.258723614967","177.029478144803","208.895158727336","197.725444156204","189.547860937961","190.657022496049","201.436400287598","181.077974732201","171.679167085643","184.137077108001","","",
"Albania","ALB","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","222.786533032114","247.234910796966","257.917555208619","304.600289342283","324.861822808831","339.739178724359","372.026995959073","414.916861584357","452.679090353599","504.256292297083","600.657526568485","625.645151967134","643.14574559937","664.902444642237","726.53974963245","755.452047153836","803.796389477951","834.280774470738","895.594815963717","","","","",
"Andorra","AND","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1913.36792047033","2017.65111184614","2162.96295326677","2094.00349175208","2108.60627291581","2342.94274369521","2304.167197776","2491.28167925962","2888.11167740451","3066.93281557405","3981.44090636509","3953.44915860701","3467.41994843493","3461.91490195335","3556.15253714868","3762.87706340478","3630.90713922029","3762.33940721022","4075.10282084294","4146.36417595652","4719.69777300957","","",
"Arab World","ARB","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","414.610941112378","452.049324757233","456.324681052373","446.175618873478","461.282154348864","458.800052601306","489.788036746866","523.865641048775","529.226511441465","644.218367651394","609.516221975599","637.74315308803","680.859963649233","756.968921356751","801.82453138035","806.393324338187","847.955990921007","887.324998961928","854.424387770899","674.643977088052","685.383277371203","","",
"United Arab Emirates","ARE","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2225.09299767579","2297.60712622174","2486.12735254395","2556.32157534879","2555.41283801202","2428.80889255047","2407.17309152397","2347.52357456169","2368.61814093654","2734.78164423012","2536.87455890514","2591.77820503087","2497.08861323793","2657.41648426757","2786.92336535314","2416.0655481766","2307.57353055722","2853.38102066944","2995.45178088627","3244.37283517814","4033.41522794831","","",
"Argentina","ARG","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1062.06802310954","1045.11860234704","826.503259876419","845.654784689127","878.926912190423","1027.99637846501","1136.95009569335","1291.94094664091","1417.27593711322","1536.95989416907","1693.09656717233","1808.44305508073","1920.12782491183","1960.46583405056","1896.80603394286","2050.68083322739","1824.83379112357","2463.52308594348","2216.69296697896","2187.828948411","2089.51842182646","","",
